Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.38605702,2.46,Cleveland Cavaliers,0.613943,1.55
Atlanta Hawks,0.7691744,1.24,Phoenix Suns,0.2308256,4.12
Atlanta Hawks,0.5666498,1.68,Toronto Raptors,0.4333502,2.19
Atlanta Hawks,0.56794196,1.67,Boston Celtics,0.43205804,2.2
Atlanta Hawks,0.5130344,1.85,Washington Wizards,0.4869656,1.95
Atlanta Hawks,0.9460822,1.0,Sacramento Kings,0.053917825,17.62
Atlanta Hawks,0.5647281,1.68,Los Angeles Lakers,0.43527192,2.18
Atlanta Hawks,0.8635233,1.1,Houston Rockets,0.1364767,6.96
Atlanta Hawks,0.61719334,1.54,Chicago Bulls,0.38280666,2.48
Atlanta Hawks,0.90653265,1.05,Philadelphia 76ers,0.093467355,10.16
Atlanta Hawks,0.7206845,1.32,Milwaukee Bucks,0.27931547,3.4
Atlanta Hawks,0.2381105,3.99,New Orleans Pelicans,0.7618895,1.25
Atlanta Hawks,0.06372744,14.91,Detroit Pistons,0.93627256,1.01
Atlanta Hawks,0.06863666,13.84,Oklahoma City Thunder,0.93136334,1.02
Atlanta Hawks,0.090619616,10.48,Miami Heat,0.9093804,1.04
Atlanta Hawks,0.24474178,3.88,Orlando Magic,0.7552582,1.26
Atlanta Hawks,0.8441601,1.13,Charlotte Hornets,0.15583992,6.1
Atlanta Hawks,0.7114079,1.34,Minnesota Timberwolves,0.2885921,3.29
Atlanta Hawks,0.3060849,3.1,New York Knicks,0.6939151,1.37
Atlanta Hawks,0.60448706,1.57,Detroit Pistons,0.39551294,2.4
Atlanta Hawks,0.10536861,9.02,San Antonio Spurs,0.8946314,1.06
Atlanta Hawks,0.8788429,1.08,Boston Celtics,0.12115711,7.84
Atlanta Hawks,0.68820655,1.38,Milwaukee Bucks,0.31179345,3.05
Atlanta Hawks,0.33753172,2.81,Chicago Bulls,0.6624683,1.43
Atlanta Hawks,0.78439915,1.21,Philadelphia 76ers,0.21560085,4.41
Atlanta Hawks,0.15526457,6.12,LA Clippers,0.84473544,1.12
Atlanta Hawks,0.16323978,5.82,Washington Wizards,0.8367602,1.14
Atlanta Hawks,0.49977896,1.9,New York Knicks,0.500221,1.9
Atlanta Hawks,0.8593353,1.11,Orlando Magic,0.1406647,6.75
Atlanta Hawks,0.58693755,1.62,Utah Jazz,0.41306245,2.3
Atlanta Hawks,0.6953209,1.37,Denver Nuggets,0.3046791,3.12
Atlanta Hawks,0.2777594,3.42,Miami Heat,0.72224057,1.32
Atlanta Hawks,0.77905756,1.22,Dallas Mavericks,0.22094244,4.3
Atlanta Hawks,0.63346255,1.5,Cleveland Cavaliers,0.36653745,2.59
Atlanta Hawks,0.549795,1.73,Indiana Pacers,0.45020503,2.11
Atlanta Hawks,0.90432227,1.05,Golden State Warriors,0.09567773,9.93
Atlanta Hawks,0.89487976,1.06,Brooklyn Nets,0.10512024,9.04
Atlanta Hawks,0.66941714,1.42,Toronto Raptors,0.33058286,2.87
Atlanta Hawks,0.39996475,2.38,Memphis Grizzlies,0.60003525,1.58
Atlanta Hawks,0.41535807,2.29,Portland Trail Blazers,0.58464193,1.62
Atlanta Hawks,0.0438654,21.66,Brooklyn Nets,0.9561346,0.99
Atlanta Hawks,0.29778957,3.19,Phoenix Suns,0.7022104,1.35
Atlanta Hawks,0.45596367,2.08,Boston Celtics,0.5440363,1.75
Atlanta Hawks,0.27238905,3.49,Cleveland Cavaliers,0.72761095,1.31
Atlanta Hawks,0.9036378,1.05,Charlotte Hornets,0.09636217,9.86
Atlanta Hawks,0.4433938,2.14,Denver Nuggets,0.5566062,1.71
Atlanta Hawks,0.21464004,4.43,Milwaukee Bucks,0.78536,1.21
Atlanta Hawks,0.59222484,1.6,Houston Rockets,0.40777516,2.33
Atlanta Hawks,0.29725,3.2,Boston Celtics,0.70274997,1.35
Atlanta Hawks,0.9806635,0.97,Sacramento Kings,0.019336522,49.13
Atlanta Hawks,0.788877,1.2,Boston Celtics,0.21112299,4.5
Atlanta Hawks,0.87695694,1.08,LA Clippers,0.12304306,7.72
Atlanta Hawks,0.83036673,1.14,New York Knicks,0.16963327,5.6
Atlanta Hawks,0.074309655,12.78,Toronto Raptors,0.92569035,1.03
Atlanta Hawks,0.088416174,10.74,Cleveland Cavaliers,0.91158384,1.04
Atlanta Hawks,0.4090361,2.32,Brooklyn Nets,0.5909639,1.61
Atlanta Hawks,0.7163938,1.33,Orlando Magic,0.28360617,3.35
Atlanta Hawks,0.7803432,1.22,Detroit Pistons,0.21965683,4.32
Atlanta Hawks,0.41425592,2.29,Miami Heat,0.5857441,1.62
Atlanta Hawks,0.18380499,5.17,Indiana Pacers,0.816195,1.16
Atlanta Hawks,0.6233441,1.52,Dallas Mavericks,0.37665588,2.52
Atlanta Hawks,0.66660815,1.43,Washington Wizards,0.33339185,2.85
Atlanta Hawks,0.7547349,1.26,Portland Trail Blazers,0.24526513,3.87
Atlanta Hawks,0.66651684,1.43,Brooklyn Nets,0.33348316,2.85
Atlanta Hawks,0.4991902,1.9,San Antonio Spurs,0.5008098,1.9
Atlanta Hawks,0.58203125,1.63,New Orleans Pelicans,0.41796875,2.27
Atlanta Hawks,0.17223501,5.52,Chicago Bulls,0.827765,1.15
Atlanta Hawks,0.48667032,1.95,Utah Jazz,0.5133297,1.85
Atlanta Hawks,0.422597,2.25,Toronto Raptors,0.577403,1.65
Atlanta Hawks,0.18906553,5.02,Washington Wizards,0.8109345,1.17
Atlanta Hawks,0.16026536,5.93,Minnesota Timberwolves,0.8397347,1.13
Atlanta Hawks,0.3166149,3.0,Charlotte Hornets,0.68338513,1.39
Atlanta Hawks,0.8273993,1.15,Memphis Grizzlies,0.17260069,5.5
Atlanta Hawks,0.48479187,1.96,Cleveland Cavaliers,0.5152081,1.84
Atlanta Hawks,0.2663709,3.57,Detroit Pistons,0.7336291,1.29
Atlanta Hawks,0.2404818,3.95,Los Angeles Lakers,0.7595182,1.25
Atlanta Hawks,0.3778948,2.51,Indiana Pacers,0.62210524,1.53
Atlanta Hawks,0.11161718,8.51,Golden State Warriors,0.8883828,1.07
Atlanta Hawks,0.37356737,2.54,Phoenix Suns,0.62643266,1.52
Atlanta Hawks,0.37711778,2.52,Chicago Bulls,0.62288225,1.53
Atlanta Hawks,0.17913651,5.3,Oklahoma City Thunder,0.8208635,1.16
Atlanta Hawks,0.20198068,4.7,Charlotte Hornets,0.7980193,1.19
Atlanta Hawks,0.2781469,3.42,Philadelphia 76ers,0.72185314,1.32
Atlanta Hawks,0.84861475,1.12,Orlando Magic,0.15138525,6.28
Atlanta Hawks,0.3626253,2.62,Miami Heat,0.6373747,1.49
Atlanta Hawks,0.05214659,18.22,Philadelphia 76ers,0.9478534,1.0
Atlanta Hawks,0.7280448,1.3,Dallas Mavericks,0.2719552,3.49
Atlanta Hawks,0.39448076,2.41,Chicago Bulls,0.60551924,1.57
Atlanta Hawks,0.13652365,6.96,Sacramento Kings,0.86347634,1.1
Atlanta Hawks,0.26514062,3.58,Miami Heat,0.73485935,1.29
Atlanta Hawks,0.31208047,3.04,New York Knicks,0.6879195,1.38
Atlanta Hawks,0.4141644,2.29,Detroit Pistons,0.5858356,1.62
Atlanta Hawks,0.10435699,9.1,LA Clippers,0.895643,1.06
Atlanta Hawks,0.22189943,4.28,Toronto Raptors,0.77810055,1.22
Atlanta Hawks,0.3159637,3.01,Boston Celtics,0.6840363,1.39
Atlanta Hawks,0.19170223,4.96,Charlotte Hornets,0.80829775,1.18
Atlanta Hawks,0.25985262,3.66,Golden State Warriors,0.74014735,1.28
Atlanta Hawks,0.17541431,5.42,Washington Wizards,0.8245857,1.15
Atlanta Hawks,0.43975547,2.16,Denver Nuggets,0.56024456,1.7
Atlanta Hawks,0.6850349,1.39,Washington Wizards,0.31496513,3.02
Atlanta Hawks,0.39730582,2.39,Indiana Pacers,0.60269415,1.58
Atlanta Hawks,0.8416556,1.13,Cleveland Cavaliers,0.15834439,6.0
Atlanta Hawks,0.54706115,1.74,Miami Heat,0.45293885,2.1
Atlanta Hawks,0.24506769,3.88,Milwaukee Bucks,0.7549323,1.26
Atlanta Hawks,0.7334468,1.3,Oklahoma City Thunder,0.26655322,3.56
Atlanta Hawks,0.26892045,3.53,Boston Celtics,0.7310796,1.3
